"Store_Name","Longitude","Latitude","Address","Address Line #2","City","State","Zip5","Zip4","County"
"Rite Aid 04868","-73.815262","40.729031","7118 Kissena Blvd","","Flushing","NY","11367","2720","QUEENS"
"Rite Aid 04664","-73.921745","40.700775","355 Knickerbocker Ave","","Brooklyn","NY","11237","3740","KINGS"
"Duane Reade 429","-73.963234","40.718933","164 Kent Ave","","Brooklyn","NY","11211","3103","KINGS"
"Duane Reade 432","-74.010429","40.645077","5008 5th Ave","","Brooklyn","NY","11220","1909","KINGS"
"Rite Aid 10573","-74.02272","40.629219","7501 5th Ave","","Brooklyn","NY","11209","3301","KINGS"
"LUCKY GROCERY STORE INCORPORATED","-73.748421","40.678684","22026 Merrick Blvd","","Springfield Gardens","NY","11413","1924","QUEENS"
"Shree Petroleum Inc/Mobil Mini Mart","-74.489517","41.576866","155 Kingston Ave","","Wurtsboro","NY","12790","7623","SULLIVAN"
"Scalimada Meat & Grocery","-73.885597","40.854607","667 E 187th St","","Bronx","NY","10458","6754","BRONX"
"Rite Aid 3847","-74.008446","40.610775","1532 86th St","","Brooklyn","NY","11228","3431","KINGS"
"Rite Aid 4565","-73.986137","40.597244","2532 86th St","","Brooklyn","NY","11214","4439","KINGS"
"Rite Aid 4855","-73.997887","40.604416","2007 86th St","","Brooklyn","NY","11214","3203","KINGS"
"Rite Aid 10572","-73.98082","40.613506","2221 65th St","","Brooklyn","NY","11204","4001","KINGS"
"Rite Aid 10582","-73.975357","40.596817","237 Avenue U","","Brooklyn","NY","11223","3817","KINGS"
"Rite Aid 4693","-73.857231","40.670033","7814 Linden Blvd","","Howard Beach","NY","11414","1022","QUEENS"
"L & O Grocery Corp","-73.948524","40.79501","1618 Madison Ave","","New York","NY","10029","3514","NEW YORK"
"Duane Reade 430","-73.987648","40.751225","1350 Broadway","2nd Floor","New York","NY","10018","","NEW YORK"
"AR Convenience","-74.030701","40.616985","9257 4th Ave","","Brooklyn","NY","11209","7006","KINGS"
"Westchester Four Star Deli Inc","-73.780624","40.909466","476 Main St","","New Rochelle","NY","10801","6460","WESTCHESTER"
"Asia Market","-77.634705","43.091045","3047 W Henrietta Rd","Ste 1","Rochester","NY","14623","2531","MONROE"
"Deals 4189","-73.903084","40.881432","5687 Broadway","","Bronx","NY","10463","4147","BRONX"
"Sweet Escape Inc DBA Hookahnuts","-74.021919","40.631306","7214 5th Ave","","Brooklyn","NY","11209","2616","KINGS"
"95 Star Deli Inc","-73.97084","40.793468","720 Amsterdam Ave","","New York","NY","10025","6325","NEW YORK"
"7-Eleven #25448","-73.657936","40.590279","504 Long Beach Blvd","","Long Beach","NY","11561","2207","NASSAU"
"Li's Herb Co. Inc","-73.995987","40.718327","93 Elizabeth St","","New York","NY","10013","4729","NEW YORK"
"Food Truck Service N/A","-78.738274","42.862808","66 Terrace Blvd","","Buffalo","NY","14224","1541","ERIE"
"Sam's Mobil","-78.813728","42.94865","3444 Bailey Ave","","Buffalo","NY","14215","1106","ERIE"
"AMONA DELI CORP","-73.984924","40.721897","250 E Houston St","Frnt 2","New York","NY","10002","1034","NEW YORK"
"S & S Quick Stop/Family Dream","-76.148247","43.064545","1009 Park St","","Syracuse","NY","13208","2727","ONONDAGA"
"Jolema Food Corp/Associated","-73.902969","40.699951","920 Seneca Ave","","Ridgewood","NY","11385","4849","QUEENS"
"Zaka Halal Market And Deli LLC","-77.613808","43.185566","1415 N. Clinton Avenue","Unit 11-A","Rochester","NY","14621","","MONROE"
"242 DELI FOOD LLC","-73.849457","40.90564","4781 White Plains Rd","","Bronx","NY","10470","1124","BRONX"
"Tremont Grocery Store","-73.90313","40.848759","303 E Tremont Ave","","Bronx","NY","10457","5304","BRONX"
"Oscar Deli Grocery Corp","-73.90802","40.812954","750 E 149th St","","Bronx","NY","10455","4503","BRONX"
"MS Deli Grocery Store","-73.829735","40.851776","3211 Westchester Ave","","Bronx","NY","10461","","BRONX"
"Alexi Deli & Grocery","-73.983162","40.576775","1514 Mermaid Ave","","Brooklyn","NY","11224","2618","KINGS"
"Rodriguez Productos Mexicanos","-73.918648","40.831478","190 E 166th St","","Bronx","NY","10456","5504","BRONX"
"Kingdom Projects Inc","-73.883041","40.867683","2957 Webster Ave","","Bronx","NY","10458","2424","BRONX"
"7-Eleven","-73.804375","40.753773","16201 46th Ave","","Flushing","NY","11358","3616","QUEENS"
"7-Eleven#23897","-73.799812","40.723156","16801 Union Tpke","","Fresh Meadows","NY","11366","1311","QUEENS"
"7-Eleven #11210E","-73.324295","40.750175","7 Bay Shore Rd","","Deer Park","NY","11729","6601","SUFFOLK"
"7-Eleven #27942B","-73.613434","40.710526","531 Fulton Ave","","Hempstead","NY","11550","4350","NASSAU"
"Kennedy Deli Restaurant Corp","-73.908485","40.880802","302 W 231st St","","Bronx","NY","10463","3805","BRONX"
"P&D DELI GROCERY","-73.829712","40.688927","11413 101st Ave","","South Richmond Hill","NY","11419","1138","QUEENS"
"Cache A Cache Grocery Corp","-73.887337","40.875717","3153 Villa Ave","","Bronx","NY","10468","1242","BRONX"
"MEAL MART 13 AVE CORP","-73.990761","40.636288","4621 13th Ave","","Brooklyn","NY","11219","2631","KINGS"
"AMERICAN & MEXICAN GROCERY DELI","-73.865692","40.744156","9756 Corona Ave","","Corona","NY","11368","2747","QUEENS"
